Node has 901 -  Counter({(0, 1): 333, (0, 0): 234, (1, 0): 228, (1, 1): 106})
Node has 901 -  Counter({(0, 1): 343, (0, 0): 236, (1, 0): 222, (1, 1): 100})
Node has 901 -  Counter({(0, 1): 360, (1, 0): 218, (0, 0): 208, (1, 1): 115})
Node has 901 -  Counter({(0, 1): 335, (1, 0): 242, (0, 0): 211, (1, 1): 113})
Node has 901 -  Counter({(0, 1): 322, (0, 0): 234, (1, 0): 233, (1, 1): 112})
Node has 901 -  Counter({(0, 1): 358, (0, 0): 220, (1, 0): 210, (1, 1): 113})
Node has 901 -  Counter({(0, 1): 333, (0, 0): 254, (1, 0): 193, (1, 1): 121})
Node has 901 -  Counter({(0, 1): 359, (0, 0): 219, (1, 0): 214, (1, 1): 109})
Node has 901 -  Counter({(0, 1): 352, (1, 0): 219, (0, 0): 216, (1, 1): 114})
Node has 901 -  Counter({(0, 1): 328, (1, 0): 228, (0, 0): 228, (1, 1): 117})
Node has 901 -  Counter({(0, 0): 251, (1, 0): 228, (0, 1): 226, (1, 1): 196})
Node has 901 -  Counter({(0, 0): 235, (1, 0): 233, (1, 1): 218, (0, 1): 215})
Node has 901 -  Counter({(0, 0): 234, (1, 0): 226, (0, 1): 223, (1, 1): 218})
Node has 901 -  Counter({(0, 0): 234, (1, 0): 225, (1, 1): 224, (0, 1): 218})
Node has 901 -  Counter({(1, 0): 245, (0, 1): 231, (1, 1): 220, (0, 0): 205})
Node has 901 -  Counter({(1, 1): 249, (0, 0): 226, (1, 0): 223, (0, 1): 203})
Node has 901 -  Counter({(0, 0): 237, (0, 1): 233, (1, 1): 226, (1, 0): 205})
Node has 901 -  Counter({(1, 0): 229, (0, 0): 229, (0, 1): 222, (1, 1): 221})
Node has 901 -  Counter({(0, 1): 232, (1, 1): 229, (1, 0): 227, (0, 0): 213})
Node has 901 -  Counter({(1, 0): 238, (0, 0): 237, (1, 1): 214, (0, 1): 212})
Node has 901 -  Counter({(1, 0): 252, (1, 1): 233, (0, 1): 218, (0, 0): 198})
